ID,DATE,MARQUE,CATEGORIE,THEME,OBJET,CREA_CAPTURE,VERSION_ENLIGNE
1,18/11/2016,Ziemann Inc,Human Resources,HP QTP,Focused actuating system engine,http://dummyimage.com/400x600.png/ff4444/ffffff,http://twitpic.com/ipsum/dolor/sit.json?in=pretium&faucibus=nisl&orci=ut&luctus=volutpat&et=sapien&ultrices=arcu&posuere=sed&cubilia=augue&curae=aliquam&donec=erat&pharetra=volutpat&magna=in&vestibulum=congue&aliquet=etiam&ultrices=justo&erat=etiam&tortor=pretium&sollicitudin=iaculis&mi=justo&sit=in&amet=hac&lobortis=habitasse&sapien=platea&sapien=dictumst&non=etiam&mi=faucibus&integer=cursus&ac=urna&neque=ut&duis=tellus&bibendum=nulla&morbi=ut&non=erat&quam=id&nec=mauris&dui=vulputate&luctus=elementum&rutrum=nullam&nulla=varius&tellus=nulla&in=facilisi&sagittis=cras&dui=non&vel=velit&nisl=nec&duis=nisi&ac=vulputate&nibh=nonummy&fusce=maecenas&lacus=tincidunt&purus=lacus&aliquet=at&at=velit&feugiat=vivamus&non=vel&pretium=nulla&quis=eget&lectus=eros&suspendisse=elementum&potenti=pellentesque&in=quisque&eleifend=porta&quam=volutpat&a=erat&odio=quisque&in=erat&hac=eros&habitasse=viverra&platea=eget&dictumst=congue&maecenas=eget&ut=semper&massa=rutrum&quis=nulla&augue=nunc&luctus=purus&tincidunt=phasellus&nulla=in&mollis=felis&molestie=donec
2,24/09/2016,Mann-Hilpert,Human Resources,PDMS Design,Compatible transitional groupware,http://dummyimage.com/400x600.png/dddddd/000000,https://mapquest.com/luctus/et/ultrices/posuere/cubilia.png?consequat=elementum&dui=pellentesque&nec=quisque&nisi=porta&volutpat=volutpat&eleifend=erat&donec=quisque&ut=erat&dolor=eros&morbi=viverra&vel=eget&lectus=congue&in=eget&quam=semper&fringilla=rutrum&rhoncus=nulla&mauris=nunc&enim=purus&leo=phasellus
3,20/04/2016,"Bergnaum, O'Hara and Goodwin",Legal,Smart Metering,Progressive needs-based approach,http://dummyimage.com/400x600.png/dddddd/000000,https://jigsy.com/ligula/in/lacus.js?pellentesque=aliquam&at=augue&nulla=quam&suspendisse=sollicitudin&potenti=vitae&cras=consectetuer&in=eget&purus=rutrum&eu=at&magna=lorem&vulputate=integer&luctus=tincidunt&cum=ante&sociis=vel&natoque=ipsum&penatibus=praesent&et=blandit&magnis=lacinia&dis=erat&parturient=vestibulum&montes=sed&nascetur=magna&ridiculus=at&mus=nunc&vivamus=commodo&vestibulum=placerat&sagittis=praesent&sapien=blandit&cum=nam&sociis=nulla&natoque=integer&penatibus=pede&et=justo&magnis=lacinia&dis=eget&parturient=tincidunt&montes=eget&nascetur=tempus&ridiculus=vel&mus=pede&etiam=morbi&vel=porttitor&augue=lorem&vestibulum=id&rutrum=ligula&rutrum=suspendisse&neque=ornare&aenean=consequat&auctor=lectus&gravida=in&sem=est&praesent=risus&id=auctor&massa=sed&id=tristique&nisl=in&venenatis=tempus&lacinia=sit&aenean=amet&sit=sem&amet=fusce&justo=consequat&morbi=nulla&ut=nisl&odio=nunc&cras=nisl&mi=duis&pede=bibendum&malesuada=felis&in=sed&imperdiet=interdum&et=venenatis&commodo=turpis&vulputate=enim&justo=blandit&in=mi&blandit=in&ultrices=porttitor&enim=pede&lorem=justo&ipsum=eu&dolor=massa&sit=donec&amet=dapibus
4,11/03/2017,Klocko-Bayer,Human Resources,Personal Injury,Versatile reciprocal alliance,http://dummyimage.com/400x600.png/cc0000/ffffff,https://livejournal.com/dolor/quis/odio/consequat.jsp?neque=sem&vestibulum=fusce&eget=consequat&vulputate=nulla&ut=nisl&ultrices=nunc&vel=nisl&augue=duis&vestibulum=bibendum&ante=felis&ipsum=sed&primis=interdum&in=venenatis&faucibus=turpis&orci=enim&luctus=blandit&et=mi&ultrices=in&posuere=porttitor&cubilia=pede&curae=justo&donec=eu&pharetra=massa&magna=donec&vestibulum=dapibus&aliquet=duis&ultrices=at&erat=velit&tortor=eu&sollicitudin=est&mi=congue&sit=elementum&amet=in&lobortis=hac&sapien=habitasse&sapien=platea&non=dictumst&mi=morbi&integer=vestibulum&ac=velit&neque=id&duis=pretium&bibendum=iaculis&morbi=diam&non=erat&quam=fermentum&nec=justo&dui=nec&luctus=condimentum&rutrum=neque&nulla=sapien&tellus=placerat
5,04/06/2016,"Runolfsson, Ritchie and Sanford",Legal,Jenkins,Virtual stable archive,http://dummyimage.com/400x600.png/ff4444/ffffff,http://1und1.de/amet/consectetuer/adipiscing/elit/proin.png?in=tortor&faucibus=quis&orci=turpis&luctus=sed&et=ante&ultrices=vivamus&posuere=tortor&cubilia=duis&curae=mattis&duis=egestas&faucibus=metus&accumsan=aenean&odio=fermentum&curabitur=donec
6,07/12/2016,"Ernser, Parker and Ziemann",Human Resources,Musical Theatre,Balanced next generation moratorium,http://dummyimage.com/400x600.png/5fa2dd/ffffff,https://yolasite.com/ante.aspx?in=sapien&leo=varius&maecenas=ut&pulvinar=blandit&lobortis=non&est=interdum&phasellus=in&sit=ante&amet=vestibulum&erat=ante&nulla=ipsum&tempus=primis&vivamus=in&in=faucibus&felis=orci&eu=luctus&sapien=et&cursus=ultrices&vestibulum=posuere&proin=cubilia&eu=curae&mi=duis&nulla=faucibus&ac=accumsan&enim=odio&in=curabitur&tempor=convallis&turpis=duis&nec=consequat&euismod=dui&scelerisque=nec&quam=nisi&turpis=volutpat&adipiscing=eleifend&lorem=donec&vitae=ut&mattis=dolor&nibh=morbi&ligula=vel&nec=lectus&sem=in&duis=quam&aliquam=fringilla&convallis=rhoncus&nunc=mauris&proin=enim&at=leo&turpis=rhoncus&a=sed&pede=vestibulum&posuere=sit&nonummy=amet&integer=cursus&non=id&velit=turpis&donec=integer&diam=aliquet&neque=massa&vestibulum=id&eget=lobortis&vulputate=convallis&ut=tortor&ultrices=risus&vel=dapibus&augue=augue&vestibulum=vel&ante=accumsan&ipsum=tellus&primis=nisi&in=eu&faucibus=orci&orci=mauris&luctus=lacinia&et=sapien
7,12/08/2016,Flatley and Sons,Support,LS9,Switchable demand-driven policy,http://dummyimage.com/400x600.png/cc0000/ffffff,http://gov.uk/in.jpg?imperdiet=vulputate&sapien=ut&urna=ultrices&pretium=vel&nisl=augue&ut=vestibulum&volutpat=ante&sapien=ipsum&arcu=primis&sed=in&augue=faucibus&aliquam=orci&erat=luctus&volutpat=et&in=ultrices&congue=posuere&etiam=cubilia&justo=curae&etiam=donec&pretium=pharetra&iaculis=magna&justo=vestibulum&in=aliquet&hac=ultrices&habitasse=erat&platea=tortor&dictumst=sollicitudin&etiam=mi&faucibus=sit&cursus=amet&urna=lobortis&ut=sapien&tellus=sapien&nulla=non&ut=mi&erat=integer&id=ac&mauris=neque&vulputate=duis&elementum=bibendum&nullam=morbi&varius=non&nulla=quam&facilisi=nec&cras=dui&non=luctus&velit=rutrum&nec=nulla&nisi=tellus&vulputate=in&nonummy=sagittis&maecenas=dui
8,10/06/2016,Farrell LLC,Marketing,ICP-OES,Proactive even-keeled implementation,http://dummyimage.com/400x600.png/ff4444/ffffff,https://senate.gov/duis.aspx?ipsum=mi&primis=nulla&in=ac&faucibus=enim&orci=in&luctus=tempor&et=turpis&ultrices=nec&posuere=euismod&cubilia=scelerisque&curae=quam&donec=turpis&pharetra=adipiscing&magna=lorem&vestibulum=vitae&aliquet=mattis&ultrices=nibh&erat=ligula&tortor=nec&sollicitudin=sem&mi=duis&sit=aliquam&amet=convallis&lobortis=nunc&sapien=proin&sapien=at&non=turpis&mi=a&integer=pede&ac=posuere&neque=nonummy&duis=integer&bibendum=non&morbi=velit&non=donec&quam=diam&nec=neque&dui=vestibulum&luctus=eget&rutrum=vulputate&nulla=ut&tellus=ultrices&in=vel&sagittis=augue&dui=vestibulum&vel=ante&nisl=ipsum&duis=primis&ac=in&nibh=faucibus&fusce=orci&lacus=luctus&purus=et&aliquet=ultrices&at=posuere&feugiat=cubilia&non=curae&pretium=donec&quis=pharetra&lectus=magna&suspendisse=vestibulum&potenti=aliquet&in=ultrices&eleifend=erat&quam=tortor&a=sollicitudin&odio=mi&in=sit&hac=amet&habitasse=lobortis&platea=sapien&dictumst=sapien
9,28/08/2016,Hegmann Inc,Research and Development,RMA,Enhanced maximized attitude,http://dummyimage.com/400x600.png/ff4444/ffffff,https://wired.com/elit.jpg?justo=lorem&pellentesque=ipsum&viverra=dolor&pede=sit&ac=amet&diam=consectetuer&cras=adipiscing&pellentesque=elit&volutpat=proin&dui=interdum&maecenas=mauris&tristique=non&est=ligula&et=pellentesque&tempus=ultrices&semper=phasellus&est=id&quam=sapien&pharetra=in&magna=sapien&ac=iaculis&consequat=congue&metus=vivamus&sapien=metus&ut=arcu&nunc=adipiscing&vestibulum=molestie&ante=hendrerit&ipsum=at&primis=vulputate&in=vitae&faucibus=nisl&orci=aenean&luctus=lectus&et=pellentesque&ultrices=eget&posuere=nunc&cubilia=donec&curae=quis&mauris=orci&viverra=eget&diam=orci&vitae=vehicula&quam=condimentum&suspendisse=curabitur&potenti=in&nullam=libero&porttitor=ut&lacus=massa
10,25/06/2016,Jast-Moore,Human Resources,XUL,Organic demand-driven customer loyalty,http://dummyimage.com/400x600.png/cc0000/ffffff,https://hc360.com/dignissim/vestibulum/vestibulum/ante.jpg?ac=dolor&nibh=sit&fusce=amet&lacus=consectetuer&purus=adipiscing&aliquet=elit&at=proin&feugiat=interdum&non=mauris&pretium=non&quis=ligula&lectus=pellentesque&suspendisse=ultrices&potenti=phasellus&in=id&eleifend=sapien&quam=in&a=sapien&odio=iaculis&in=congue&hac=vivamus&habitasse=metus&platea=arcu&dictumst=adipiscing&maecenas=molestie&ut=hendrerit&massa=at&quis=vulputate&augue=vitae&luctus=nisl&tincidunt=aenean&nulla=lectus&mollis=pellentesque&molestie=eget&lorem=nunc&quisque=donec&ut=quis&erat=orci&curabitur=eget&gravida=orci&nisi=vehicula&at=condimentum&nibh=curabitur&in=in&hac=libero&habitasse=ut&platea=massa&dictumst=volutpat&aliquam=convallis&augue=morbi&quam=odio&sollicitudin=odio&vitae=elementum&consectetuer=eu&eget=interdum&rutrum=eu&at=tincidunt&lorem=in&integer=leo&tincidunt=maecenas&ante=pulvinar&vel=lobortis&ipsum=est&praesent=phasellus&blandit=sit&lacinia=amet&erat=erat&vestibulum=nulla&sed=tempus&magna=vivamus&at=in&nunc=felis&commodo=eu&placerat=sapien&praesent=cursus&blandit=vestibulum&nam=proin&nulla=eu&integer=mi&pede=nulla&justo=ac&lacinia=enim&eget=in&tincidunt=tempor
